,gender,faculty,Enter Your Location,kind of books preffered for study,How Frequently do you visit library,For what Purposes do yo visit library,Average Time spent in collage,What is general Purposes,Which one is your Prefered location ,What is your preferred time?,Preferred language for Learning,Preferred type for reading,Do you enjoy the Reading,Which mode of learning /,Dose Covid Pandemic Ch,How do you study before collage,How do you study after Collage,Do you aware about Nati,Do you Using National di,Dose Covid 19 Pandemic Affected Your Reading Habits,Do you purchase Books from store,Average Expenditure on books,Occupation Of Father,Parents Education,Select your Faculty,Enter your Location,Preferred Language for Learning,Do you Using National dig,Occupation of Father
75,Male,Science,Rural,Class Notes,2-3 times in a week,To borrow library material,s 2-4 hours,To pass the examination,College lab,Evening,English,New paper,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,No,Yes,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
76,Male,Science,Rural,Class Notes,Once in a month,To read Daily News pape r,Less than an hour,To get the knowledge and,Home,Morning,English,New paper,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading books in library a,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
77,Female,Science,Urban,Class Notes,Rarely,To Complete Assignment,Less than an hour,To get the knowledge and,Home,Morning,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer
78,Female,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Afternoon,Marathi,Stories and novels,Enjoyable,Hard copy of Reading ma,No,Reading books in library a,Watching Lecture Videos,No,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer
79,Male,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Other places,Evening,English,Reference books,Enjoyable,Academic Videos,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,Yes,Yes - Positively Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No,Farmer
80,Female,Science,Rural,Text Books,Rarely,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Late Night,Marathi,Competitive books,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
81,Male,Science,Rural,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Evening,English,Reference books,Enjoyable,Hard copy of Reading ma,No,Reading books in library a,Reading books in library a,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
82,Female,Science,Rural,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To increase General Kno,w Home,Morning,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No,Farmer
83,Male,Science,Urban,Reference Books,Once in a week,To Complete Assignment,Less than an hour,To get the knowledge and,Other places,Late Night,English,Magazines,Enjoyable,Academic Videos,No,Watching Lecture Videos,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer
84,Female,other,Urban,Class Notes,Once in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College lab,Evening,English,Reference books,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No,Farmer
85,Male,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Central Library,Morning,English,Competitive books,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading books in library a,Yes,Yes,No - Not Affected,No,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No,Farmer
86,Female,Science,Rural,Reference Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College lab,Morning,English,Reference books,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer
87,Male,other,Rural,Lecture Videos,Daily,To use the internet,2-4 hours,To increase General Kno,w Central Library,Morning,English,Reference books,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
88,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Home,Morning,English,New paper,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading books in library a,No,No,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No,Farmer
89,Male,Science,Rural,Reference Books,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Central Library,Evening,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No,Farmer
90,Female,Science,Urban,Lecture Videos,Rarely,For Reading Novels and,g Less than an hour,To be well informed,Home,Morning,English,Journal articles,Just okay,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No,Farmer
91,Female,Science,Urban,Reference Books,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Late Night,English,Reference books,Enjoyable,Academic Videos,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No,Farmer
92,Female,Science,Urban,Class Notes,2-3 times in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Evening,English,Competitive books,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading books in library a,Yes,No,Yes - Positively Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No,Farmer
93,Male,Science,Urban,Other,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Afternoon,Hindi,New paper,Very much,soft copy of Reading mat e,No,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No,Farmer
94,Male,Science,Urban,Other,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Afternoon,Hindi,New paper,Very much,soft copy of Reading mat e,No,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No,Farmer
95,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,For career development,Home,Late Night,English,Competitive books,Enjoyable,Academic Videos,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes - Positively Affected,No,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No,Farmer
96,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Late Night,English,Others,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,No,Less Than Rs. 500,Business,Educated,Science,Rural,English,No,Farmer
97,Male,Science,Urban,Lecture Videos,Once in a week,To use the internet,Less than an hour,To increase General Kno,w Central Library,Late Night,Hindi,Stories and novels,Enjoyable,Academic Videos,Yes,Watching Lecture Videos,Reading soft copy of boo k,Yes,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Worker,Educated,Science,Rural,English,No,Farmer
98,Male,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g 2-4 hours,To be well informed,Central Library,Morning,English,Text books,Enjoyable,Academic Videos,Yes,Reading books in library a,Watching Lecture Videos,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No,Farmer
99,Male,Science,Rural,Class Notes,Daily,For Reading Novels and,g 2-4 hours,To get the knowledge and,Class Room,Morning,English,Reference books,Very much,Academic Videos,No,Reading soft copy of boo k,Reading books in library a,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
100,Male,Science,Rural,Class Notes,Once in a month,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Evening,Marathi,Competitive books,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No,Farmer
101,Female,Science,Urban,Lecture Videos,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College lab,Late Night,English,Journal articles,Just okay,soft copy of Reading mat e,Yes,Reading books in library a,Reading soft copy of boo k,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No,Farmer
102,Female,Science,Urban,Reference Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College lab,Morning,English,Competitive books,Enjoyable,soft copy of Reading mat e,No,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,No,Farmer
103,Female,Science,Urban,Class Notes,2-3 times in a week,To Complete Assignment,2-4 hours,To increase General Kno,w Central Library,Late Night,English,New paper,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library a,Reading books in library a,Yes,Yes,Yes - Positively Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No,Farmer
104,Female,Science,Urban,Reference Books,Rarely,For Reading Novels and,g 2-4 hours,To get the knowledge and,Other places,Late Night,English,Reference books,Enjoyable,soft copy of Reading mat e,No,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,Yes- Negatively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Un-Educated,Science,Rural,English,No,Farmer
105,Female,Science,Urban,Class Notes,2-3 times in a week,For Reading Novels and,g 2-4 hours,To increase General Kno,w Park or Garden,Afternoon,Marathi,Stories and novels,Very much,Hard copy of Reading ma,Yes,Watching Lecture Videos,Watching Lecture Videos,No,No,Yes - Positively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
106,Female,Science,Rural,Reference Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To be well informed,Central Library,Morning,English,Journal articles,Enjoyable,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes- Negatively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No,Farmer
107,Female,Science,Rural,Reference Books,Once in a month,For Reading Novels and,g 2-4 hours,To increase General Kno,w Home,Morning,Marathi,New paper,Very much,soft copy of Reading mat e,Yes,Watching Lecture Videos,Reading books in library a,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No,Farmer
108,Female,Science,Rural,Lecture Videos,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Home,Morning,English,New paper,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
109,Female,Science,Rural,Reference Books,Rarely,For Reading Novels and,g Less than an hour,To increase General Kno,w Home,Evening,English,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Arts,Rural,Marathi,Yes,Farmer
110,Female,Science,Rural,Text Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Central Library,Afternoon,English,Stories and novels,Very much,Hard copy of Reading Ma,No,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Arts,Rural,Marathi,Yes,Farmer
111,Female,Science,Rural,Text Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College Lab,Morning,English,Stories and novels,Very much,soft copy of Reading mat e,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,No,Farmer
112,Female,Science,Rural,Text Books,Rarely,For Reading Novels and,g Less than an hour,To get the knowledge and,Central Library,Afternoon,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Urban,English,No,Job
113,Female,Science,Rural,Other,2-3 times in a week,To photo copy reading ma,2-4 hours,To prepare class Assignm,Class Room,Afternoon,English,New Paper,Enjoyable,Hard copy of Reading Ma,Yes,Watching Lecture Videos,Watching Lecture Videos,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,other,Rural,Marathi,No,Farmer
114,Male,Science,Rural,Text Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,Class Room,Morning,English,Reference books,Very much,soft copy of Reading mat e,Yes,Watching Lecture Videos,Reading Books in Library,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,Yes,Business
115,Female,Science,Rural,Other,2-3 times in a week,For Reading Novels and,g 2-4 hours,For Career Development,College Lab,Evening,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,No,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,other,Urban,Marathi,No,Worker
116,Female,Science,Rural,Reference Books,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Home,Late Night,English,New Paper,Very much,soft copy of Reading mat e,Yes,Reading books in library a,Watching Lecture Videos,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,Marathi,No,Worker
117,Female,Science,Rural,Text Books,Once in a month,To borrow library material,s Less than an hour,To get the knowledge and,Home,Evening,English,Stories and novels,Just okay,Hard copy of Reading Ma,Yes,Reading books in library a,Reading Books in Library,Yes,No,No - Positively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Job
118,Male,Science,Rural,Class Notes,Once in a month,To borrow library material,s Less than an hour,To Pass the examination,Home,Evening,English,Others,Just okay,Hard copy of Reading Ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,Yes - Negatively Affected,Yes,Above Rs. 2000,Farmer,Educated,Science,Urban,English,No,Job
119,Female,Science,Rural,Reference Books,Once in a week,For Reading Novels and,g 2-4 hours,To increase General Kno,w Home,Morning,English,New Paper,Very much,soft copy of Reading mat e,Yes,Reading soft copy of boo k,Reading Books in Library,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,Yes,Job
120,Female,Science,Rural,Lecture Videos,Rarely,For Reading Novels and,g Less than an hour,For Career Development,Home,Late Night,English,Stories and novels,Very much,Hard copy of Reading ma,No,Watching Lecture Videos,Watching Lecture Videos,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Urban,English,No,Worker
121,Female,Science,Rural,Other,Rarely,Other,2-4 hours,To increase General Kno,w Home,Late Night,English,Stories and novels,Enjoyable,soft copy of Reading mat e,No,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Arts,Urban,Marathi,Yes,Farmer
122,Female,Science,Rural,Class Notes,Daily,To Read Daily News Pap,e 5-6 hours,To be well informed,Home,Evening,English,Text books,Very much,Hard copy of Reading Ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Arts,Urban,Marathi,Yes,Business
123,Female,Science,Rural,Other,Rarely,For Reading Novels and,g 6 and Above,For Career Development,Home,Morning,English,Stories and novels,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Arts,Urban,Marathi,No,Farmer
124,Male,Science,Rural,Lecture Videos,Once in a week,Other,2-4 hours,To get the knowledge and,Central Library,Late Night,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,No,No - Not Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Arts,Rural,Marathi,Yes,Farmer
125,Female,Science,Rural,Other,Once in a month,For Reading Novels and,g 2-4 hours,To increase General Kno,w Central Library,Afternoon,English,Stories and novels,Very much,Hard copy of Reading Ma,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Arts,Rural,Marathi,Yes,Farmer
126,Female,Science,Rural,Class Notes,Rarely,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Morning,English,Stories and novels,Very much,Hard copy of Reading Ma,Yes,Reading books in library a,Reading Books in Library,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Worker
127,Male,Science,Rural,Other,Once in a month,To Read Daily News Pap,e Less than an hour,To be well informed,Park or Garden,Evening,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,No,No,Yes - Negatively Affected,No,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Job
128,Female,Science,Rural,Reference Books,Rarely,To borrow library material,s Less than an hour,To be well informed,Central Library,Afternoon,English,Reference books,Enjoyable,Hard copy of Reading ma,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,Yes,Job
129,Male,Science,Rural,Class Notes,Once in a month,For Reading Novels and,g Less than an hour,To increase General Kno,w Home,Evening,English,Competitive books,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,Marathi,Yes,Farmer
130,Female,Science,Rural,Reference Books,2-3 times in a week,For Reading Novels and,g 2-4 hours,To get the knowledge and,College Lab,Morning,English,Reference books,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Positively Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,Yes,Farmer
131,Male,Science,Rural,Text Books,Rarely,To photo copy reading ma,Less than an hour,To get the knowledge and,Park or Garden,Morning,English,Stories and novels,Just okay,soft copy of Reading mat e,No,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Urban,English,No,Worker
132,Female,Science,Rural,Class Notes,Rarely,For Reading Novels and,g 2-4 hours,To get the knowledge and,Home,Late Night,English,Stories and novels,Enjoyable,Hard copy of Reading Ma,Yes,Reading books in library,Reading soft copy of boo k,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,No,Farmer
133,Female,Science,Rural,Class Notes,Rarely,Other,Less than an hour,To get the knowledge and,Home,Late Night,English,Reference books,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Urban,English,No,Job
134,Male,Science,Rural,Reference Books,2-3 times in a week,For Reading Novels and,g 5-6 hours,To increase General Kno,w Central Library,Morning,English,Journal articles,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,other,Rural,English,Yes,Farmer
135,Male,Science,Rural,Class Notes,Once in a month,To Read Daily News Pap,e Less than an hour,To increase General Kno,w Home,Morning,English,New Paper,Very much,Hard copy of Reading Ma,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes,Farmer
136,Male,Science,Rural,Reference Books,Daily,To use the internet,Less than an hour,For Career Development,Home,Afternoon,English,New Paper,Enjoyable,Hard copy of Reading Ma,No,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Commerce,Urban,English,No,Business
137,Male,Science,Rural,Other,Rarely,To Complete Assignment,Less than an hour,To Pass the examination,Park or Garden,Late Night,English,Others,Very much,soft copy of Reading mat e,No,Watching Lecture Videos,Watching Lecture Videos,Yes,No,No - Positively Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Arts,Rural,Hindi,Yes,Farmer
138,Female,Science,Rural,Text Books,Once in a week,To borrow library material,s Less than an hour,To get the knowledge and,Central Library,Morning,English,Text books,Enjoyable,Hard copy of Reading Ma,No,Watching Lecture Videos,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
139,Female,Science,Rural,Reference Books,Daily,To Read Daily News Pap,e Less than an hour,To get the knowledge and,Central Library,Morning,English,Reference books,Very much,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading Books in Library,Yes,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,other,Rural,English,Yes,Worker
140,Female,Science,Rural,Class Notes,Once in a week,To borrow library material,s Less than an hour,For Career Development,Home,Evening,English,Competitive books,Enjoyable,soft copy of Reading mat e,No,Watching Lecture Videos,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Commerce,Urban,Marathi,No,Farmer
141,Female,Science,Rural,Text Books,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Home,Morning,English,New Paper,Very much,Hard copy of Reading Ma,No,Reading books in library,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer
142,Female,Science,Rural,Reference Books,Daily,To Complete Assignment,5-6 hours,To be well informed,Class Room,Evening,English,Text books,Enjoyable,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,Marathi,Yes,Farmer
143,Female,Science,Rural,Reference Books,Once in a month,To borrow library material,s 6 and Above,To get the knowledge and,Park or Garden,Morning,English,Journal articles,Very much,soft copy of Reading mat e,Yes,Reading books in library,Reading Books in Library,Yes,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes,Farmer
144,Female,Science,Rural,Reference Books,Once in a month,To Complete Assignment,2-4 hours,To get the knowledge and,Park or Garden,Morning,English,New Paper,Very much,Hard copy of Reading Ma,No,Watching Lecture Videos,Reading Books in Library,Yes,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,Marathi,Yes,Farmer
145,Female,Science,Rural,Class Notes,2-3 times in a week,To borrow library material,s 2-4 hours,To get the knowledge and,Central Library,Evening,English,Text books,Very much,soft copy of Reading mat e,Yes,Reading books in library,Reading Books in Library,No,No,No - Positively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer
146,Female,Science,Rural,Class Notes,2-3 times in a week,Other,Less than an hour,To get the knowledge and,Park or Garden,Evening,English,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo,Watching Lecture Videos,Yes,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,Hindi,No,Farmer
147,Female,Science,Rural,Reference Books,Once in a week,To Complete Assignment,2-4 hours,To Pass the examination,Central Library,Morning,English,Text books,Enjoyable,soft copy of Reading mat e,Yes,Reading books in library,Reading Books in Library,Yes,No,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Urban,Marathi,Yes,Business
148,Male,Science,Rural,Class Notes,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Late Night,English,Others,Just okay,Hard copy of Reading ma,Yes,Reading soft copy of boo,Reading Books in Library,Yes,No,Yes - Negatively Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,Yes,Farmer
149,Male,Science,Rural,Reference Books,Once in a week,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Afternoon,English,Stories and novels,Just okay,soft copy of Reading mat e,Yes,Reading soft copy of boo,Reading Books in Library,Yes,No,No - Positively Affected,No,Less Than Rs. 500,Farmer,Un-Educated,Science,Rural,English,Yes,Farmer
150,Female,Science,Rural,Text Books,Once in a month,For Reading Novels and,g Less than an hour,To get the knowledge and,Home,Late Night,English,Magazines,Enjoyable,Hard copy of Reading Ma,Yes,Reading soft copy of boo,Reading soft copy of boo k,No,No,Yes - Negatively Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,Yes,Farmer
